"METIER_COD"	"METIER_LIB"
"GNSBAI"	"Filets maillants à poissons batoïdes ou rajiformes"
"SPRMZZ"	"Sennes boeufs à poissons"
"SDNMAX"	"Sennes danoises à maquereaux"
"SDNWHG"	"Sennes danoises à merlan"
"SDNBSE"	"Sennes danoises à bars"
"MHIMSM"	"Pêche à pied à Moule méditerranéenne"
"SDVOYF"	"Plongée à huître plate"
"SDVOYG"	"Plongée sous-marine à Huîtres creuses"
"FDVOYG"	"Apnée à Huîtres creuses"
"FDVOYF"	"Apnée à huître plate"
"MHIOYF"	"Pêche à pied à huître plate"
"MHIOYG"	"Pêche à pied à Huîtres creuses"
"OTBOYF"	"Chaluts de fond à huître plate"
"OTBOYG"	"Chaluts de fond à panneaux (1 Navire) à Huîtres creuses"
"LTLBLF"	"Lignes de traîne à thon à nageoires noires"
"GTRDEC"	"Trémails à denté"
"LLFSBX"	"Palangres flottantes à sparidés"
"LLSBSH"	"Palangres à peau bleue"
"LLFMZZ"	"Palangres flottantes à poissons"
"MHIUCC"	"Pêche à pied à crabe mantou"
"FDVMSM"	"Apnée à Moule méditerranéenne"
"FDVMUS"	"Apnée à Moule commune (atlantique)"
"DRBKLK"	"Dragues à vernis"
"DRBUR1"	"Dragues remorquées par un bateau à Oursin vert"
"LVDBIL"	"Palangres verticales dérivantes à marlins, makaires, voiliers"
"LVDTUN"	"Palangres verticales dérivantes à thons"
"MHIOCT"	"Pêche à pied à poulpes"
"PRELPF"	"Charter de pêche de loisir à grands pélagiques"
"SB_SPF"	"Sennes de plage à petits pélagiques"
"SB_MUV"	"Sennes de plage à capucins à bande jaune"
"SB_IYL"	"Sennes de plage à bichique"
"TBSDCP"	"Chaluts de fond floridien à crevettes"
"FSNMZZ"	"Filets à l'étalage (diables) à poissons"
"LHP_MS"	"Lignes et cannes manuelles à mérous"
"GNSJOD"	"Filets maillants à saint-Pierre"
"MHILPZ"	"Pêche à pied à patelles"
"FSNELE"	"Filets à l'étalage (diables) à anguille"
"FSNSBG"	"Filets à l'étalage (diables) à dorade royale"
"DHBWOR"	"Dragues à main embarquées à vers marins"
"SDVOST"	"Plongée à huîtres"
"PTMBFT"	"Chaluts boeufs pélagiques à thon rouge"
"GNEMUL"	"Filets maillants flottants à mulets"
"GNS_EP"	"Filets maillants calés à Eperlans (divers)"
"FPOCRQ"	"Casiers à crabe des neiges"
"FPOMYG"	"Casiers à myxine"
"DRBCUX"	"Dragues à concombres de mer"
"GNSLUM"	"Filets maillants câlés à lompe"
"GNSSAL"	"Filets maillants à saumon de l'Atlantique"
"MSPCAP"	"Epuisettes, Salabardes à capelan"
"SB_CAP"	"Sennes de plage à capelan"
"OTBCOD"	"Chaluts de fond à morue"
"LHPCOD"	"Lignes et cannes manuelles à morue"
"OTBDCP"	"Chaluts de fond à crevettes"
"AUTMZZ"	"Transport de poissons"
"FDVMZZ"	"Apnée à poissons"
"FDVCON"	"Apnée à lambis"
