"ESP_COD_FAO"	"ESP_LIB_FAO_FRANCAIS"
"MAK"	"Taupes"
"GNG"	"Requins-nourrices nca"
"OQX"	"Chiloscyllium spp"
"GAU"	"Chiens galeus nca"
"SCL"	"Roussettes nca"
"AXM"	"Asymbolus spp"
"API"	"Holbiches"
"CWZ"	"Requins carcharhinus nca"
"RHZ"	"Requins aiguilles gussi nca"
"SPN"	"Requins marteau nca"
"SDV"	"Émissoles nca"
"DGZ"	"Aiguillats nca"
"CWO"	"Squales-chagrins nca"
"SHL"	"Sagres nca"
"DNA"	"Squales-savates nca"
"CZI"	"Centroscymnus spp"
"PWS"	"Requins scies nca"
"GUZ"	"Guitares nca"
"SKA"	"Pocheteaux et raies raja nca"
"BHY"	"Raies bathyraja nca"
"STI"	"Pastenagues nca"
"AQX"	"Aetobatus spp"
"MWX"	"Myliobatis spp"
"RJX"	"Aetomylaeus spp"
"MNT"	"Manta spp"
"RMV"	"Mobula spp"
"RBY"	"Raies-papillon nca"
"RVX"	"Urolophus spp"
"TOE"	"Torpilles"
"CWM"	"Chimaera spp"
"HYD"	"Chimères nca"
"RHC"	"Chimères-couteau nca"
"HAR"	"Chimères spatules"
"FLU"	"Protoptères d'afrique"
"LKX"	"Garpiques nca"
"SHZ"	"Aloses nca"
"SHD"	"Aloses vraie et feinte"
"SIX"	"Sardinelles nca"
"ASP"	"Aloses de la mer caspienne"
"DQX"	"Dorosoma spp"
"MVX"	"Menhadens nca"
"RUO"	"Urolophus concentricus"
"RUT"	"Urolophus cruciatus"
"RUE"	"Urolophus expansus"
"RUV"	"Urolophus flavomosaicus"
"RUG"	"Urolophus gigas"
"RUH"	"Urolophus halleri"
"RUJ"	"Urolophus jamaicensis"
"RUL"	"Urolophus lobatus"
"RUM"	"Urolophus maculatus"
"RUK"	"Urolophus mitosis"
"RUQ"	"Urolophus orarius"
"RUP"	"Urolophus paucimaculatus"
"RUX"	"Urolophus sufflavus"
"RUY"	"Urolophus testaceus"
"RUZ"	"Urolophus viridis"
"RUW"	"Urolophus westraliensis"
"JUA"	"Urotrygon aspidura"
"JUC"	"Urotrygon chilensis"
